,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,5355,new,140,Sci-Fi,117,16.386554621848738,6.303755822519249
1,5195,world,103,Sci-Fi,78,10.92436974789916,6.355742050631571
2,3052,man,86,Sci-Fi,74,10.364145658263306,6.135302707526247
3,6923,years,71,Sci-Fi,68,9.523809523809524,6.543719530502499
4,1470,way,68,Sci-Fi,65,9.103641456582633,6.15933041209441
5,1710,alien,81,Sci-Fi,63,8.823529411764707,6.2224341034887845
6,152,people,67,Sci-Fi,61,8.543417366946779,6.254679578394466
7,2987,time,82,Sci-Fi,60,8.403361344537815,6.368435242755265
8,4382,help,66,Sci-Fi,60,8.403361344537815,6.236079665190686
9,2276,life,77,Sci-Fi,58,8.123249299719888,6.35212470842655
10,1192,scientist,63,Sci-Fi,57,7.983193277310924,6.076028373015273
11,6188,discovers,58,Sci-Fi,57,7.983193277310924,6.281332606696227
12,879,planet,73,Sci-Fi,56,7.8431372549019605,6.282142861658092
13,799,young,59,Sci-Fi,54,7.563025210084033,6.31549136112024
14,1586,human,61,Sci-Fi,53,7.42296918767507,6.057374783119399
15,5154,group,58,Sci-Fi,53,7.42296918767507,5.972518506295315
16,890,discover,55,Sci-Fi,52,7.282913165266106,6.269219970942396
17,6335,other,58,Sci-Fi,51,7.142857142857143,6.313036639167838
18,1546,space,63,Sci-Fi,50,7.002801120448179,6.110031281858552
19,6367,evil,51,Sci-Fi,46,6.442577030812325,6.137367589272294
20,5860,mysterious,53,Sci-Fi,46,6.442577030812325,6.257197714943886
21,97,it's,51,Sci-Fi,45,6.302521008403361,6.185365977974491
22,2609,first,54,Sci-Fi,44,6.162464985994398,6.631283000024155
23,4171,own,46,Sci-Fi,43,6.022408963585434,6.103594511376199
24,3558,secret,49,Sci-Fi,42,5.882352941176471,6.230260506573787
25,5309,tries,43,Sci-Fi,39,5.46218487394958,5.91285170239627
26,612,old,38,Sci-Fi,38,5.322128851540616,6.598494610466922
27,3832,battle,39,Sci-Fi,37,5.182072829131653,6.344186513179416
28,3827,town,43,Sci-Fi,37,5.182072829131653,5.761673580508159
29,6585,future,42,Sci-Fi,37,5.182072829131653,6.332081361197647
30,224,war,43,Sci-Fi,36,5.042016806722689,6.766209488302058
31,2630,story,41,Sci-Fi,36,5.042016806722689,6.186510990429633
32,3677,race,38,Sci-Fi,36,5.042016806722689,6.393890599174747
